Contract,Vulnerability,Severity,Tool,Date
SWC107_Reentrancy_1.sol,Reentrancy,High,Slither,2026-03-01
SWC107_Reentrancy_1.sol,Reentrancy,High,Mythril,2026-03-01
SWC101_Overflow_1.sol,Integer Overflow,High,Slither,2026-03-01
SWC101_Overflow_1.sol,Integer Overflow,Medium,Mythril,2026-03-01
SWC105_AccessControl_1.sol,Access Control,High,Slither,2026-03-02
SWC105_AccessControl_1.sol,Access Control,High,Mythril,2026-03-02
SWC104_UncheckedCalls_1.sol,Unchecked External Calls,Medium,Slither,2026-03-02
SWC104_UncheckedCalls_1.sol,Unchecked External Calls,Medium,Mythril,2026-03-02
SWC113_DOSLoop_1.sol,Denial of Service (Loop),High,Slither,2026-03-03
SWC113_DOSLoop_1.sol,Denial of Service (Loop),Critical,Mythril,2026-03-03
SWC107_Reentrancy_2.sol,Reentrancy,High,Slither,2026-03-06
SWC107_Reentrancy_2.sol,Reentrancy,Critical,Mythril,2026-03-06
SWC107_Reentrancy_3.sol,Reentrancy,Medium,Slither,2026-03-07
SWC107_Reentrancy_3.sol,Reentrancy,High,Oyente,2026-03-07
SWC101_Overflow_2.sol,Integer Overflow,High,Slither,2026-03-08
SWC101_Overflow_2.sol,Integer Overflow,Medium,Mythril,2026-03-08
SWC101_Overflow_3.sol,Integer Overflow,Low,Slither,2026-03-09
SWC101_Overflow_3.sol,Integer Overflow,High,Oyente,2026-03-09
SWC105_AccessControl_2.sol,Access Control,High,Slither,2026-03-10
SWC105_AccessControl_2.sol,Access Control,Medium,Mythril,2026-03-10
SWC105_AccessControl_3.sol,Access Control,Low,Slither,2026-03-11
SWC105_AccessControl_3.sol,Access Control,High,Oyente,2026-03-11
SWC104_UncheckedCalls_2.sol,Unchecked External Calls,Medium,Slither,2026-03-12
SWC104_UncheckedCalls_2.sol,Unchecked External Calls,High,Mythril,2026-03-12
SWC104_UncheckedCalls_3.sol,Unchecked External Calls,Low,Slither,2026-03-13
